age,workclass,education,occupation,hours-per-week
32,State-gov,Some-college,Armed-Forces,80
72,Local-gov,9th,Transport-moving,52
69,Local-gov,HS-grad,Machine-op-inspct,21
25,State-gov,11th,Armed-Forces,73
72,Local-gov,Assoc-voc,Adm-clerical,73
44,Never-worked,Masters,Handlers-cleaners,62
32,Self-emp-inc,5th-6th,Transport-moving,42
34,Federal-gov,Some-college,Exec-managerial,31
68,Federal-gov,7th-8th,Tech-support,50
32,Self-emp-inc,7th-8th,Transport-moving,60
38,Without-pay,12th,Other-service,74
37,Local-gov,1st-4th,Priv-house-serv,63
53,Self-emp-not-inc,Doctorate,Other-service,19
46,Private,1st-4th,Armed-Forces,30
74,Local-gov,Some-college,Craft-repair,15
31,Federal-gov,5th-6th,Tech-support,39
38,State-gov,1st-4th,Farming-fishing,54
56,Self-emp-inc,5th-6th,Craft-repair,70
32,Local-gov,7th-8th,Farming-fishing,23
44,Without-pay,Assoc-acdm,Adm-clerical,19
38,Private,Some-college,Armed-Forces,61
71,Federal-gov,10th,Handlers-cleaners,73
70,Local-gov,Some-college,Tech-support,54
23,Never-worked,7th-8th,Machine-op-inspct,33
55,Self-emp-inc,Assoc-voc,Protective-serv,13
39,Never-worked,Preschool,Tech-support,43
60,Local-gov,HS-grad,Farming-fishing,36
39,Local-gov,9th,Prof-specialty,38
35,Self-emp-not-inc,HS-grad,Armed-Forces,30
22,Private,7th-8th,Handlers-cleaners,27
22,Local-gov,1st-4th,Sales,41
69,Self-emp-inc,Prof-school,Prof-specialty,13
41,Self-emp-inc,7th-8th,Priv-house-serv,11
32,Local-gov,Some-college,Transport-moving,38
21,Local-gov,5th-6th,Other-service,26
49,Local-gov,12th,Handlers-cleaners,12
30,Without-pay,HS-grad,Armed-Forces,33
51,Self-emp-not-inc,7th-8th,Handlers-cleaners,72
71,Never-worked,11th,Exec-managerial,19
46,Self-emp-not-inc,11th,Transport-moving,42
20,Federal-gov,11th,Handlers-cleaners,48
32,Private,Bachelors,Other-service,63
53,Never-worked,Doctorate,Exec-managerial,40
65,State-gov,HS-grad,Craft-repair,74
75,Private,7th-8th,Handlers-cleaners,22
72,State-gov,Assoc-acdm,Priv-house-serv,75
58,State-gov,5th-6th,Prof-specialty,79
74,Never-worked,Assoc-acdm,Sales,80
46,Local-gov,Masters,Priv-house-serv,65
30,State-gov,11th,Prof-specialty,54
26,Without-pay,HS-grad,Other-service,25
56,Never-worked,HS-grad,Other-service,70
72,Self-emp-inc,12th,Adm-clerical,62
59,Self-emp-not-inc,10th,Craft-repair,55
37,Local-gov,12th,Tech-support,32
23,Federal-gov,11th,Handlers-cleaners,43
42,Federal-gov,Masters,Machine-op-inspct,22
72,Without-pay,Doctorate,Sales,37
72,Local-gov,Assoc-acdm,Priv-house-serv,43
47,Private,Bachelors,Prof-specialty,61
29,Private,Some-college,Protective-serv,27
26,Self-emp-inc,Preschool,Tech-support,17
50,Private,Preschool,Farming-fishing,40
57,Federal-gov,12th,Prof-specialty,80
34,Private,9th,Sales,50
28,Self-emp-inc,11th,Handlers-cleaners,69
44,Local-gov,Masters,Protective-serv,66
74,Self-emp-inc,5th-6th,Prof-specialty,30
64,Local-gov,Preschool,Exec-managerial,69
20,Never-worked,11th,Sales,53
33,Without-pay,Preschool,Armed-Forces,17
71,Without-pay,Doctorate,Sales,53
46,Self-emp-not-inc,Prof-school,Exec-managerial,80
49,Self-emp-inc,Doctorate,Sales,55
23,Self-emp-inc,Bachelors,Farming-fishing,24
48,Local-gov,Preschool,Exec-managerial,63
18,State-gov,Prof-school,Armed-Forces,13
48,Local-gov,Some-college,Other-service,79
66,Self-emp-not-inc,Preschool,Protective-serv,76
42,Without-pay,10th,Handlers-cleaners,63
65,Private,9th,Exec-managerial,78
48,State-gov,Prof-school,Protective-serv,73
43,Self-emp-not-inc,11th,Handlers-cleaners,56
20,Never-worked,HS-grad,Priv-house-serv,27
63,Local-gov,10th,Armed-Forces,50
65,Self-emp-not-inc,12th,Handlers-cleaners,66
28,Without-pay,Some-college,Transport-moving,26
56,Local-gov,1st-4th,Priv-house-serv,42
20,Self-emp-inc,Some-college,Priv-house-serv,39
29,Without-pay,7th-8th,Farming-fishing,49
69,Private,12th,Handlers-cleaners,41
52,Local-gov,5th-6th,Priv-house-serv,62
34,State-gov,1st-4th,Transport-moving,68
35,Never-worked,5th-6th,Farming-fishing,41
36,State-gov,1st-4th,Other-service,42
74,Without-pay,1st-4th,Machine-op-inspct,23
47,Self-emp-not-inc,Masters,Craft-repair,35
52,Self-emp-not-inc,Assoc-voc,Farming-fishing,67
43,Local-gov,10th,Exec-managerial,29
18,Self-emp-inc,1st-4th,Machine-op-inspct,79
65,Without-pay,9th,Machine-op-inspct,21
62,Without-pay,7th-8th,Other-service,29
39,Self-emp-not-inc,Bachelors,Sales,27
22,Without-pay,HS-grad,Craft-repair,45
48,Federal-gov,Some-college,Handlers-cleaners,36
26,State-gov,11th,Sales,59
73,Self-emp-inc,Assoc-voc,Protective-serv,57
42,Never-worked,7th-8th,Handlers-cleaners,15
49,Federal-gov,12th,Priv-house-serv,70
40,Private,5th-6th,Protective-serv,49
58,Private,Assoc-acdm,Exec-managerial,33
75,Federal-gov,10th,Prof-specialty,22
52,State-gov,11th,Handlers-cleaners,55
24,Never-worked,1st-4th,Armed-Forces,59
51,Federal-gov,12th,Machine-op-inspct,68
49,Without-pay,Assoc-voc,Machine-op-inspct,24
37,Local-gov,Doctorate,Other-service,18
54,Federal-gov,5th-6th,Other-service,55
18,Federal-gov,Doctorate,Prof-specialty,70
73,Private,9th,Farming-fishing,57
36,Local-gov,10th,Prof-specialty,77
34,Private,Bachelors,Sales,73
42,Without-pay,Preschool,Craft-repair,53
46,Federal-gov,7th-8th,Exec-managerial,45
72,Without-pay,Bachelors,Adm-clerical,68
46,Self-emp-inc,Masters,Farming-fishing,54
32,Private,11th,Other-service,59
28,Self-emp-not-inc,7th-8th,Armed-Forces,46
71,Private,7th-8th,Prof-specialty,65
75,Without-pay,HS-grad,Priv-house-serv,16
32,State-gov,5th-6th,Protective-serv,44
27,Never-worked,Some-college,Craft-repair,25
45,State-gov,1st-4th,Craft-repair,41
44,Local-gov,12th,Prof-specialty,19
58,Federal-gov,Doctorate,Transport-moving,44
73,Private,12th,Priv-house-serv,60
66,Local-gov,Assoc-acdm,Exec-managerial,25
50,Self-emp-not-inc,5th-6th,Priv-house-serv,22
75,State-gov,Doctorate,Craft-repair,24
34,State-gov,Assoc-voc,Prof-specialty,33
62,Private,7th-8th,Priv-house-serv,52
41,Self-emp-not-inc,Assoc-acdm,Tech-support,42
28,Self-emp-inc,12th,Handlers-cleaners,32
22,Self-emp-not-inc,10th,Sales,25
70,Never-worked,5th-6th,Craft-repair,35
47,Self-emp-inc,9th,Tech-support,49
27,Federal-gov,Doctorate,Machine-op-inspct,45
25,Never-worked,Bachelors,Tech-support,78
38,Local-gov,Masters,Tech-support,65
38,Self-emp-not-inc,5th-6th,Protective-serv,18
19,Without-pay,Preschool,Machine-op-inspct,36
48,Without-pay,11th,Adm-clerical,70
18,Without-pay,10th,Adm-clerical,36
19,Local-gov,12th,Craft-repair,52
49,Self-emp-not-inc,Doctorate,Armed-Forces,52
31,Never-worked,12th,Protective-serv,48
44,Without-pay,Preschool,Craft-repair,39
27,Private,Doctorate,Other-service,64
32,Without-pay,12th,Craft-repair,50
65,State-gov,HS-grad,Machine-op-inspct,78
57,Without-pay,9th,Prof-specialty,72
36,Without-pay,Assoc-acdm,Prof-specialty,54
69,Federal-gov,1st-4th,Transport-moving,29
55,Local-gov,12th,Tech-support,23
33,Never-worked,1st-4th,Sales,49
20,Self-emp-not-inc,Preschool,Craft-repair,44
54,State-gov,10th,Craft-repair,67
72,Never-worked,9th,Farming-fishing,33
30,Self-emp-inc,HS-grad,Other-service,29
67,Federal-gov,Doctorate,Machine-op-inspct,77
54,Without-pay,7th-8th,Armed-Forces,78
32,Local-gov,1st-4th,Adm-clerical,31
25,Federal-gov,Doctorate,Handlers-cleaners,10
71,Self-emp-inc,Preschool,Protective-serv,38
21,Private,Assoc-voc,Protective-serv,78
62,Local-gov,1st-4th,Farming-fishing,22
55,Self-emp-not-inc,5th-6th,Tech-support,74
28,Never-worked,1st-4th,Tech-support,52
71,Without-pay,11th,Other-service,72
54,Federal-gov,Assoc-voc,Craft-repair,39
52,Federal-gov,Assoc-voc,Handlers-cleaners,67
35,Private,Some-college,Other-service,48
48,Federal-gov,7th-8th,Exec-managerial,58
61,Without-pay,1st-4th,Tech-support,35
19,Self-emp-inc,11th,Sales,80
37,Private,Prof-school,Protective-serv,18
49,Federal-gov,12th,Prof-specialty,61
31,Private,HS-grad,Transport-moving,43
18,Without-pay,HS-grad,Tech-support,20
36,State-gov,5th-6th,Armed-Forces,27
46,Private,Assoc-voc,Handlers-cleaners,77
58,Self-emp-inc,Assoc-acdm,Priv-house-serv,51
72,Private,Preschool,Transport-moving,41
44,Private,Prof-school,Sales,66
53,Self-emp-not-inc,Masters,Exec-managerial,25
50,Without-pay,10th,Other-service,43
69,State-gov,Masters,Transport-moving,21
52,Private,1st-4th,Transport-moving,41
48,Private,11th,Adm-clerical,16
25,State-gov,7th-8th,Protective-serv,38
62,Never-worked,1st-4th,Prof-specialty,20
32,Without-pay,7th-8th,Priv-house-serv,67
20,Without-pay,Bachelors,Armed-Forces,61
69,State-gov,1st-4th,Priv-house-serv,41
58,Federal-gov,1st-4th,Prof-specialty,43
67,Self-emp-not-inc,HS-grad,Exec-managerial,10
47,Local-gov,Doctorate,Craft-repair,30
47,Self-emp-not-inc,11th,Machine-op-inspct,60
68,Never-worked,9th,Other-service,10
36,State-gov,Bachelors,Machine-op-inspct,68
56,Self-emp-inc,Assoc-voc,Farming-fishing,14
26,Never-worked,Prof-school,Transport-moving,32
19,Private,9th,Craft-repair,23
73,Self-emp-not-inc,Prof-school,Other-service,41
55,Without-pay,Doctorate,Machine-op-inspct,53
46,Without-pay,Doctorate,Armed-Forces,25
70,Self-emp-inc,Preschool,Transport-moving,18
30,Local-gov,Bachelors,Craft-repair,40
41,Without-pay,Some-college,Sales,64
50,Self-emp-not-inc,5th-6th,Armed-Forces,56
28,Without-pay,HS-grad,Adm-clerical,14
60,Without-pay,Bachelors,Prof-specialty,50
75,Local-gov,Bachelors,Other-service,45
40,Never-worked,10th,Farming-fishing,34
45,Private,Some-college,Craft-repair,41
25,Federal-gov,7th-8th,Handlers-cleaners,55
33,Never-worked,HS-grad,Armed-Forces,69
31,Local-gov,HS-grad,Transport-moving,14
19,Federal-gov,10th,Priv-house-serv,20
73,State-gov,Some-college,Sales,16
67,Never-worked,Doctorate,Other-service,44
31,Local-gov,Doctorate,Farming-fishing,47
18,Federal-gov,HS-grad,Tech-support,25
29,State-gov,Some-college,Protective-serv,32
29,Never-worked,Some-college,Priv-house-serv,18
38,State-gov,Assoc-voc,Craft-repair,26
42,Without-pay,Doctorate,Handlers-cleaners,15
60,State-gov,11th,Transport-moving,45
36,Private,Assoc-acdm,Tech-support,75
62,State-gov,11th,Exec-managerial,55
65,Without-pay,Some-college,Handlers-cleaners,46
60,Never-worked,Preschool,Adm-clerical,28
54,Federal-gov,5th-6th,Adm-clerical,43
24,Self-emp-not-inc,7th-8th,Exec-managerial,59
36,Self-emp-not-inc,11th,Transport-moving,80
68,Self-emp-inc,Masters,Armed-Forces,66
74,Never-worked,10th,Tech-support,42
44,Self-emp-not-inc,Masters,Adm-clerical,76
62,Without-pay,9th,Handlers-cleaners,53
67,Without-pay,5th-6th,Armed-Forces,47
73,Private,11th,Handlers-cleaners,19
52,Self-emp-inc,Assoc-voc,Handlers-cleaners,34
49,Self-emp-inc,Some-college,Tech-support,41
35,Never-worked,Assoc-acdm,Exec-managerial,27
54,Without-pay,HS-grad,Priv-house-serv,50
45,Local-gov,Prof-school,Exec-managerial,25
22,Self-emp-inc,7th-8th,Other-service,66
40,Federal-gov,Doctorate,Adm-clerical,36
63,Private,1st-4th,Craft-repair,14
55,Local-gov,5th-6th,Protective-serv,60
30,Never-worked,Assoc-acdm,Other-service,59
67,Self-emp-not-inc,Assoc-acdm,Handlers-cleaners,61
44,Self-emp-inc,12th,Craft-repair,22
27,Local-gov,7th-8th,Handlers-cleaners,48
56,Local-gov,Bachelors,Tech-support,19
27,Private,HS-grad,Armed-Forces,70
29,Federal-gov,10th,Other-service,31
26,Never-worked,11th,Craft-repair,26
73,Federal-gov,Some-college,Craft-repair,29
62,Federal-gov,Assoc-voc,Tech-support,42
19,Private,Preschool,Tech-support,72
46,Federal-gov,Assoc-voc,Prof-specialty,53
44,Private,HS-grad,Armed-Forces,64
35,Local-gov,7th-8th,Sales,29
72,Private,11th,Sales,44
43,Never-worked,5th-6th,Tech-support,29
19,Private,12th,Machine-op-inspct,36
74,Local-gov,Masters,Craft-repair,71
27,Federal-gov,10th,Handlers-cleaners,40
25,Self-emp-not-inc,HS-grad,Prof-specialty,60
41,Self-emp-inc,HS-grad,Priv-house-serv,53
26,Local-gov,Assoc-acdm,Prof-specialty,45
47,Self-emp-not-inc,Prof-school,Farming-fishing,10
52,Private,10th,Handlers-cleaners,52
55,Private,HS-grad,Tech-support,77
29,Self-emp-inc,Assoc-voc,Armed-Forces,53
34,Without-pay,Prof-school,Prof-specialty,27
37,Without-pay,Masters,Armed-Forces,51
38,State-gov,Some-college,Sales,18
27,Local-gov,HS-grad,Exec-managerial,21
30,Federal-gov,Doctorate,Sales,30
70,Self-emp-inc,Some-college,Adm-clerical,63
22,Never-worked,5th-6th,Protective-serv,67
44,Self-emp-inc,Prof-school,Handlers-cleaners,15
67,Self-emp-not-inc,1st-4th,Armed-Forces,51
75,Self-emp-inc,10th,Priv-house-serv,11
40,Local-gov,Assoc-voc,Handlers-cleaners,24
55,Without-pay,Assoc-voc,Machine-op-inspct,47
75,Self-emp-inc,Doctorate,Priv-house-serv,22
58,Never-worked,Assoc-voc,Other-service,27
46,Private,Masters,Farming-fishing,38
29,Self-emp-not-inc,11th,Prof-specialty,42
33,Without-pay,11th,Prof-specialty,29
67,State-gov,Assoc-acdm,Exec-managerial,22
35,Local-gov,11th,Protective-serv,30
33,Self-emp-inc,12th,Farming-fishing,38
60,Without-pay,5th-6th,Machine-op-inspct,56
52,Federal-gov,1st-4th,Exec-managerial,17
20,Without-pay,Prof-school,Other-service,44
58,Private,Some-college,Protective-serv,38
74,Local-gov,Assoc-voc,Prof-specialty,48
32,Private,12th,Adm-clerical,40
51,State-gov,12th,Adm-clerical,48
66,Without-pay,HS-grad,Machine-op-inspct,18
60,Local-gov,Prof-school,Handlers-cleaners,14
40,Federal-gov,Bachelors,Prof-specialty,59
36,Without-pay,5th-6th,Machine-op-inspct,45
54,Local-gov,Preschool,Armed-Forces,26
71,State-gov,10th,Transport-moving,11
64,Private,12th,Prof-specialty,25
36,Self-emp-inc,Doctorate,Armed-Forces,60
39,Local-gov,1st-4th,Armed-Forces,48
45,Self-emp-not-inc,5th-6th,Farming-fishing,64
31,Without-pay,Doctorate,Other-service,30
29,Without-pay,1st-4th,Handlers-cleaners,29
